submission_id,QUD,RT,age,audio,comments,congruency,correctness,education,endTime,expected,experiment_id,gender,image_category,image_instance,key1,key2,key_pressed,languages,match,number_of_image,p,picture,q,question,sound_category,sound_instance,sound_type,startDate,startTime,timeSpent,trial_name,trial_number
1408,,5992,25,stimuli/sounds/phone_label_female.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,correct,Graduated College,1594920435903,yes,156,male,phone,rotary,q,p,q,german,match,2,no,stimuli/images/phone_rotary_2.jpg,yes,,phone,female,label,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,training,1
1408,,6996,25,stimuli/sounds/bird_label_male.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,correct,Graduated College,1594920435903,yes,156,male,bird,seagull,q,p,q,german,match,2,no,stimuli/images/bird_seagull_2.jpg,yes,,bird,male,label,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,training,2
1408,,8242,25,stimuli/sounds/typing_label_male.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,incorrect,Graduated College,1594920435903,yes,156,male,typing,keyboard,q,p,p,german,match,2,no,stimuli/images/typing_keyboard_2.jpg,yes,,typing,male,label,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,training,3
1408,,5518,25,stimuli/sounds/dog_label_female.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,correct,Graduated College,1594920435903,no,156,male,typing,typewriter,q,p,p,german,mismatch,1,no,stimuli/images/typing_typewriter_1.jpg,yes,,dog,female,label,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,training,4
1408,,6542,25,stimuli/sounds/typing_sound_typewriter.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,correct,Graduated College,1594920435903,no,156,male,instrument,violin,q,p,p,german,mismatch,2,no,stimuli/images/instrument_violin_2.jpg,yes,,typing,typewriter,sound,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,training,5
1408,,5185,25,stimuli/sounds/bird_label_male.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,correct,Graduated College,1594920435903,no,156,male,phone,rotary,q,p,p,german,mismatch,2,no,stimuli/images/phone_rotary_2.jpg,yes,,bird,male,label,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,training,6
1408,,4323,25,stimuli/sounds/phone_label_male.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,correct,Graduated College,1594920435903,yes,156,male,phone,smartphone,q,p,q,german,match,1,no,stimuli/images/phone_smartphone_1.jpg,yes,,phone,male,label,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,main,1
1408,,4108,25,stimuli/sounds/instrument_sound_violin.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,correct,Graduated College,1594920435903,no,156,male,bird,robin,q,p,p,german,mismatch,1,no,stimuli/images/bird_robin_1.jpg,yes,,instrument,violin,sound,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,main,2
1408,,3325,25,stimuli/sounds/instrument_sound_cello.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,correct,Graduated College,1594920435903,no,156,male,typing,typewriter,q,p,p,german,mismatch,1,no,stimuli/images/typing_typewriter_1.jpg,yes,,instrument,cello,sound,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,main,3
1408,,3040,25,stimuli/sounds/dog_label_female.mp3,"nice!\nnot clear whether to distiguish between \n- different dog barks and the dog images\n- car sounds and the car images\n- keyboard sounds and keyboard/schreibmaschinen images\n- cello/bratsche and correpsonding images\n- phone rings and images",-,correct,Graduated College,1594920435903,no,156,male,typing,keyboard,q,p,p,german,mismatch,2,no,stimuli/images/typing_keyboard_2.jpg,yes,,dog,female,label,Thu Jul 16 2020 19:07:14 GMT+0200 (Mitteleuropäische Sommerzeit),1594919234246,20.027616666666667,main,4
