submission_id,QUD,RT,age,audio,comments,congruency,correctness,education,endTime,expected,experiment_id,gender,image_category,image_instance,key1,key2,key_pressed,languages,match,number_of_image,p,picture,q,question,sound_category,sound_instance,sound_type,startDate,startTime,timeSpent,trial_name,trial_number
1649,,3761,21,stimuli/sounds/dog_sound_chihuahua.mp3,,congruent,correct,Graduated High School,1595591194987,yes,156,female,dog,chihuahua,q,p,q,german and turkish,match,1,no,stimuli/images/dog_chihuahua_1.jpg,yes,,dog,chihuahua,sound,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,training,1
1649,,4481,21,stimuli/sounds/bird_label_female.mp3,,-,incorrect,Graduated High School,1595591194987,yes,156,female,bird,seagull,q,p,p,german and turkish,match,1,no,stimuli/images/bird_seagull_1.jpg,yes,,bird,female,label,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,training,2
1649,,4209,21,stimuli/sounds/dog_sound_rottweiler.mp3,,incongruent,correct,Graduated High School,1595591194987,yes,156,female,dog,chihuahua,q,p,q,german and turkish,match,1,no,stimuli/images/dog_chihuahua_1.jpg,yes,,dog,rottweiler,sound,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,training,3
1649,,4762,21,stimuli/sounds/phone_sound_rotary.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,bird,robin,q,p,p,german and turkish,mismatch,2,no,stimuli/images/bird_robin_2.jpg,yes,,phone,rotary,sound,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,training,4
1649,,3982,21,stimuli/sounds/typing_label_male.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,car,ford,q,p,p,german and turkish,mismatch,2,no,stimuli/images/car_ford_2.jpg,yes,,typing,male,label,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,training,5
1649,,4303,21,stimuli/sounds/car_sound_v8.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,phone,smartphone,q,p,p,german and turkish,mismatch,2,no,stimuli/images/phone_smartphone_2.jpg,yes,,car,v8,sound,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,training,6
1649,,3195,21,stimuli/sounds/phone_label_female.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,car,ford,q,p,p,german and turkish,mismatch,2,no,stimuli/images/car_ford_2.jpg,yes,,phone,female,label,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,1
1649,,4013,21,stimuli/sounds/car_sound_v8.mp3,,-,incorrect,Graduated High School,1595591194987,no,156,female,dog,rottweiler,q,p,q,german and turkish,mismatch,1,no,stimuli/images/dog_rottweiler_1.jpg,yes,,car,v8,sound,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,2
1649,,3168,21,stimuli/sounds/typing_sound_keyboard.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,instrument,violin,q,p,p,german and turkish,mismatch,1,no,stimuli/images/instrument_violin_1.jpg,yes,,typing,keyboard,sound,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,3
1649,,3237,21,stimuli/sounds/car_sound_v8.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,bird,robin,q,p,p,german and turkish,mismatch,2,no,stimuli/images/bird_robin_2.jpg,yes,,car,v8,sound,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,4
1649,,3255,21,stimuli/sounds/bird_sound_seagull.mp3,,congruent,correct,Graduated High School,1595591194987,yes,156,female,bird,seagull,q,p,q,german and turkish,match,2,no,stimuli/images/bird_seagull_2.jpg,yes,,bird,seagull,sound,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,5
1649,,4112,21,stimuli/sounds/typing_label_male.mp3,,-,correct,Graduated High School,1595591194987,yes,156,female,typing,keyboard,q,p,q,german and turkish,match,2,no,stimuli/images/typing_keyboard_2.jpg,yes,,typing,male,label,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,6
1649,,2970,21,stimuli/sounds/instrument_label_female.mp3,,-,correct,Graduated High School,1595591194987,yes,156,female,instrument,violin,q,p,q,german and turkish,match,1,no,stimuli/images/instrument_violin_1.jpg,yes,,instrument,female,label,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,7
1649,,3036,21,stimuli/sounds/car_label_female.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,dog,rottweiler,q,p,p,german and turkish,mismatch,1,no,stimuli/images/dog_rottweiler_1.jpg,yes,,car,female,label,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,8
1649,,3079,21,stimuli/sounds/phone_label_female.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,typing,keyboard,q,p,p,german and turkish,mismatch,1,no,stimuli/images/typing_keyboard_1.jpg,yes,,phone,female,label,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,9
1649,,3291,21,stimuli/sounds/dog_label_male.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,typing,typewriter,q,p,p,german and turkish,mismatch,1,no,stimuli/images/typing_typewriter_1.jpg,yes,,dog,male,label,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,10
1649,,2812,21,stimuli/sounds/dog_sound_chihuahua.mp3,,-,correct,Graduated High School,1595591194987,no,156,female,bird,seagull,q,p,p,german and turkish,mismatch,1,no,stimuli/images/bird_seagull_1.jpg,yes,,dog,chihuahua,sound,Fri Jul 24 2020 13:36:44 GMT+0200 (Mitteleuropäische Sommerzeit),1595590604909,9.834633333333333,main,11
